timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014829101174,-34,-28,-3,-29,-18,-15,-18,-42
1495014829102181,1,-54,2,2,-13,-15,-7,-46
1495014829102181,-1,12,-3,-36,14,7,3,9
1495014829123416,13,26,15,-1,-5,-3,4,-13
1495014829123416,20,59,-15,6,-8,-2,-1,41
1495014829124236,6,-35,0,25,7,13,11,43
1495014829124236,10,15,-7,11,-9,-4,-11,-31
1495014829138276,-36,-37,-2,-20,0,0,-9,-33
1495014829138276,-32,-54,7,6,-5,1,2,19
1495014829139284,-6,-2,3,-17,-12,-13,-7,-43
1495014829139284,0,4,-7,15,3,-3,12,9
1495014829160549,33,4,0,17,7,9,7,35
1495014829160549,10,56,-8,-75,18,19,7,18
1495014829162336,12,24,-6,21,-3,2,-4,-19
1495014829162336,-10,-19,10,-20,-22,-19,-17,4
1495014829183400,-24,-14,1,-2,-15,-23,-1,-67
1495014829183400,38,27,1,6,18,2,3,10
1495014829184396,-13,38,21,5,-9,4,5,30
1495014829184396,-19,-3,-3,99,3,8,22,53
1495014829198431,37,33,-13,-104,35,25,-13,19
1495014829198431,-34,-108,33,56,-7,-10,-12,-86
1495014829199435,13,55,-11,-8,-10,-5,-7,6
1495014829199435,-20,-7,7,26,-16,-8,1,-19
1495014829220490,2,9,-3,35,-7,4,11,55
1495014829220490,9,17,-4,33,25,14,13,27
1495014829222494,-7,-7,-3,-37,-3,8,-10,20
1495014829222494,-14,-18,12,-12,-10,-16,-8,22
1495014829242548,-24,-81,-7,-8,0,-6,13,-82
1495014829242548,25,67,-1,-8,-5,7,-14,-90
1495014829244554,-58,-31,-5,33,-12,-13,-10,13
1495014829244554,51,66,-1,-51,5,2,13,38
1495014829257588,3,-4,-4,-14,-15,-4,12,37
1495014829257588,-5,-41,-6,-3,11,-9,-9,51
1495014829264607,-9,-7,-13,26,9,-3,12,-30
1495014829264607,20,6,-6,-43,-3,10,0,27
1495014829280684,-45,59,1,57,-10,5,-4,-74
1495014829280684,44,-78,-4,30,-3,-10,-14,6
1495014829281686,-29,61,3,-89,3,34,0,31
1495014829281686,-13,-124,9,63,-8,-36,-13,-61
1495014829302707,61,-12,-3,11,3,-18,2,27
1495014829302707,-11,61,-16,29,-66,-19,14,22
1495014829304714,75,65,1,-20,58,24,4,27
1495014829304714,-7,30,10,-45,3,-1,-9,-34
